"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 7153.88305543456 7128.83625051472 7276.16121666506 7028.19157519843 7234.27464195993 7241.88536754809 7406.20130882598 7185.16026856378 7273.27929751482 7085.13102552388
"2" 6912.49823851977 7041.08275906183 6740.17691998743 6799.24395077396 6981.27554114908 6934.51085619163 6702.30608098209 6778.76242671628 6779.73755742423 6945.14526417479
"3" 6467.9055769695 6555.40192271583 6469.17434914503 6574.48611343279 6410.05072526168 6285.71010630112 6585.15080488287 6640.97679387778 6474.54835514072 6338.8618783094
"4" 6044.15299703833 6264.25253746565 5974.34599087574 6277.07885375712 6147.63706952799 6244.72676946316 5890.20362258889 6114.69542521518 6294.78206830099 5865.14443503693
"5" 5565.3302628547 5832.56027332973 5788.79221968818 5813.65172481164 5701.66217824444 5645.61591097154 5790.17925551161 5842.11351370905 5503.85694890283 5553.54294842109
"6" 5165.26492405683 5099.33953511063 5117.84715100657 5137.44333013892 5295.66052684095 5126.69532687869 5061.74361519516 5114.95294352062 5298.78764611203 5105.70427798666
"7" 4831.85058904346 4923.55059706606 5080.2865460515 4938.1990857888 4822.57401084062 4778.88689145911 4827.865728084 4822.70698845387 4722.54629458766 4947.17535600066
"8" 4406.1185175553 4363.86293433607 4486.28238348756 4683.49954222795 4530.88951103855 4512.34885845333 4628.32652130164 4587.38944404759 4617.01354936231 4245.75513931923
"9" 4029.7627433436 4099.69907796476 4259.860955365 4291.41203868203 3818.90128967352 4088.96870044991 4166.65708408691 3924.37120138202 3950.36826243158 4166.73335079104
"10" 3853.47718778066 3504.90838403348 3579.06899459194 3624.14957219735 3853.21321650408 3594.71964787226 3658.72987473849 3462.61954386719 3415.07287286222 3785.90274727903
